"ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"000009.SH","20221202","5835.0955","5844.9762","5869.41","5822.1983","5858.1227","-23.0272","-0.3931","55614411","78619813.6"
"000009.SH","20221201","5858.1227","5867.5128","5886.5952","5856.0525","5822.1382","35.9845","0.6181","68431890","97704399.5"
"000009.SH","20221130","5822.1382","5819.9877","5832.9731","5783.3897","5831.5332","-9.395","-0.1611","64725959","84807473.6"
"000009.SH","20221129","5831.5332","5765.915","5838.5568","5757.5376","5746.2168","85.3164","1.4847","72854088","91283801.5"
"000009.SH","20221128","5746.2168","5691.1426","5746.6489","5672.8244","5771.4149","-25.1981","-0.4366","55995165","71430400"
"000009.SH","20221125","5771.4149","5776.3641","5791.9731","5750.7201","5796.0057","-24.5908","-0.4243","50299251","64878223.4"
"000009.SH","20221124","5796.0057","5791.6187","5810.5877","5777.4823","5783.261","12.7447","0.2204","48930779","66646838.9"
"000009.SH","20221123","5783.261","5774.5559","5802.6124","5709.0009","5784.2973","-1.0363","-0.0179","55943584","75951468.5"
"000009.SH","20221122","5784.2973","5809.7374","5849.1464","5762.7401","5817.0768","-32.7795","-0.5635","57312215","80907279.4"
"000009.SH","20221121","5817.0768","5768.0799","5817.0768","5735.8229","5804.395","12.6818","0.2185","50167203","79445331.1"
"000009.SH","20221118","5804.395","5838.6897","5860.4658","5797.5266","5839.8723","-35.4773","-0.6075","56214359","88676211"
"000009.SH","20221117","5839.8723","5816.9942","5839.8723","5775.5731","5836.4377","3.4346","0.0588","52647942","83127242"
"000009.SH","20221116","5836.4377","5873.0775","5898.1317","5825.5578","5871.458","-35.0203","-0.5964","54229410","82019664.4"
"000009.SH","20221115","5871.458","5759.1172","5871.458","5745.9586","5761.6267","109.8313","1.9063","61629706","96914733"
"000009.SH","20221114","5761.6267","5787.2036","5827.2172","5741.8014","5781.4687","-19.842","-0.3432","69986047","101187614.8"
"000009.SH","20221111","5781.4687","5827.9164","5857.5935","5772.4886","5712.6709","68.7978","1.2043","71930905","106461364.3"
"000009.SH","20221110","5712.6709","5724.5206","5748.0529","5695.8839","5757.628","-44.9571","-0.7808","47009282","71831153.9"
"000009.SH","20221109","5757.628","5785.1121","5815.0235","5756.6453","5782.5566","-24.9286","-0.4311","44071307","69741698.1"
"000009.SH","20221108","5782.5566","5804.5162","5804.882","5749.9183","5810.1862","-27.6296","-0.4755","49683442","76761320.3"
"000009.SH","20221107","5810.1862","5823.3264","5841.8011","5767.1383","5825.489","-15.3028","-0.2627","62196367","93869682.3"
"000009.SH","20221104","5825.489","5706.2434","5844.712","5705.5994","5706.7678","118.7212","2.0804","64557958","99294365.6"
"000009.SH","20221103","5706.7678","5641.3378","5718.4903","5633.401","5685.4915","21.2763","0.3742","52618341","86894506.5"
"000009.SH","20221102","5685.4915","5599.002","5712.9151","5589.2912","5609.4999","75.9916","1.3547","66170384","101254556.4"
"000009.SH","20221101","5609.4999","5508.4901","5610.3139","5482.757","5505.3561","104.1438","1.8917","65037792","93969385.4"
"000009.SH","20221031","5505.3561","5460.6263","5556.8782","5460.6263","5505.2362","0.1199","0.0022","60562883","90212182.4"
"000009.SH","20221028","5505.2362","5622.769","5645.7288","5486.7996","5653.8035","-148.5673","-2.6277","61852136","87592006.2"
"000009.SH","20221027","5653.8035","5685.0724","5712.5891","5652.8341","5679.9134","-26.1099","-0.4597","54882980","84727919.6"
"000009.SH","20221026","5679.9134","5600.9297","5724.75","5593.0065","5605.086","74.8274","1.335","53391795","83445071.6"
"000009.SH","20221025","5605.086","5600.6324","5655.641","5530.8229","5623.7571","-18.6711","-0.332","50379636","73997175.3"
"000009.SH","20221024","5623.7571","5695.3372","5770.0539","5591.2567","5689.7351","-65.978","-1.1596","55871491","83080588.7"
"000009.SH","20221021","5689.7351","5677.5564","5715.3708","5654.3136","5676.1821","13.553","0.2388","46798034","71623520.7"
"000009.SH","20221020","5676.1821","5684.8395","5759.5432","5621.7327","5707.0655","-30.8834","-0.5411","52929005","79345482.1"
"000009.SH","20221019","5707.0655","5742.6313","5768.4871","5705.0208","5752.8935","-45.828","-0.7966","48759674","71140256.5"
"000009.SH","20221018","5752.8935","5758.8107","5789.0729","5726.9003","5742.8282","10.0653","0.1753","49369751","74247912.2"
"000009.SH","20221017","5742.8282","5690.0444","5748.9699","5676.1985","5710.7038","32.1244","0.5625","52133693","78555521.8"
"000009.SH","20221014","5710.7038","5631.0178","5732.9802","5626.2592","5594.7336","115.9702","2.0728","55946545","82316192.2"
"000009.SH","20221013","5594.7336","5558.4501","5636.9576","5550.0331","5585.7086","9.025","0.1616","48394297","69729190.9"
"000009.SH","20221012","5585.7086","5455.8945","5585.7086","5375.1583","5462.9195","122.7891","2.2477","48558266","66934731.4"
"000009.SH","20221011","5462.9195","5429.7047","5473.1738","5392.2614","5425.2112","37.7083","0.6951","42689238","56765482.5"
"000009.SH","20221010","5425.2112","5523.4797","5541.4643","5411.3922","5513.4493","-88.2381","-1.6004","47353945","62681111.8"
"000009.SH","20220930","5513.4493","5571.6275","5596.0038","5512.2628","5580.4485","-66.9992","-1.2006","38903126","53968571.2"
"000009.SH","20220929","5580.4485","5611.6426","5647.7415","5549.0032","5571.8022","8.6463","0.1552","45672727","61783574.8"
"000009.SH","20220928","5571.8022","5687.5382","5691.2652","5571.8022","5691.0122","-119.21","-2.0947","43500210","59769555.4"
"000009.SH","20220927","5691.0122","5611.9557","5691.0122","5590.8897","5595.8967","95.1155","1.6997","45895204","65144084.3"
"000009.SH","20220926","5595.8967","5604.6779","5699.7676","5585.9036","5647.003","-51.1063","-0.905","47538344","63068894.5"
"000009.SH","20220923","5647.003","5718.1776","5736.722","5601.4595","5720.2826","-73.2796","-1.281","45528080","62257775.4"
"000009.SH","20220922","5720.2826","5685.8683","5763.9127","5678.4145","5722.8739","-2.5913","-0.0453","46170474","62176369"
"000009.SH","20220921","5722.8739","5708.2726","5742.9904","5646.1894","5721.77","1.1039","0.0193","46945764","60025294.3"
"000009.SH","20220920","5721.77","5723.3042","5765.2911","5703.9768","5692.7568","29.0132","0.5097","40754161","57603888.1"
"000009.SH","20220919","5692.7568","5711.042","5743.6422","5657.2926","5723.7687","-31.0119","-0.5418","48472858","63643341.4"
"000009.SH","20220916","5723.7687","5834.9641","5854.9436","5720.0161","5854.2474","-130.4787","-2.2288","61324446","79298197.4"
"000009.SH","20220915","5854.2474","6016.4494","6021.6476","5795.9364","5992.2546","-138.0072","-2.3031","67075047","89454531.2"
